phone title,price,old price
"Oppo A31, 6.5"", 4GB RAM + 64GB (Single SIM), 4230mAh - Lake Green","KSh 15,999","KSh 17,999"
"Oppo A93, 6.4"", 128GB + 8GB RAM (Dual SIM), Matte Black + Free OPPO Bluetooth Speaker","KSh 30,999",
"Oppo A31, 6.5"", 4GB RAM + 64GB (Single SIM), 4230mAh - Mystery Black","KSh 15,999","KSh 17,999"
"Oppo A1K, 6.1"", 32GB+2GB (Dual SIM), Black + FREE 3D Glass, Back Cover & Selfie Stick","KSh 11,399","KSh 17,000"
"Oppo A93, 6.4"", 128 GB + 8 GB (Dual SIM), 4000 MAh - Black.","KSh 29,899",
"Oppo A12, 6.22"", 32GB + 3GB RAM (Single SIM), 4230 MAh, Blue","KSh 13,999","KSh 16,999"
"Oppo A53, 6.5"", 128GB + 6GB RAM (Dual SIM), 5000mAh, Fancy Blue","KSh 23,499","KSh 40,000"
"Oppo A1k, 6.1"", 32 GB + 2 GB, 4000 MAh (Dual SIM) - Red +FREE SELFIESTICK","KSh 11,999","KSh 17,999"
"Oppo A1K, 6.1"", 32GB+2GB RAM - 4000mAh Battery - Black - Free Back Cover + Ringstern","KSh 11,099","KSh 20,000"
"Oppo A1K, 6.1"", 32GB+2GB, Black +OTG","KSh 11,030","KSh 18,000"
"Oppo A53, 6.5"", 6GB + 128GB, 13MP, 4G Dual Sim, 5000MAh - Blue + Free Gifts","KSh 23,499","KSh 26,000"
"Oppo A93, 6.4"", 128GB+8GB RAM (Dual SIM), Magic Blue +FREE BLUETOOTH HEADPHONES","KSh 30,700","KSh 59,800"
"Oppo A12, 6.22"", 32GB + 3GB RAM (Single SIM), 4230 MAh, Black","KSh 13,999","KSh 16,999"
"Oppo A53, 6.5"", 64 GB + 4 GB RAM (Dual SIM), 5000mAh - Black","KSh 18,999",
"Oppo A1K, 6.1"", 32GB+2GB, Dual SIM - Red +FREE SELFIE STICK+RING+OTG CABLE","KSh 11,999","KSh 18,000"
"Oppo A1k, 6.1"", 32 GB + 2 GB, 4000 MAh (Dual SIM)  Android 9.0 _Red","KSh 11,999","KSh 17,000"
"Oppo A1k Black,6.1'',4000mah,2Gb RAM+32Gb ROM,Android 9","KSh 11,195","KSh 12,999"
"Oppo A1K, 6.1"", 2GB+32GB-RAM- DUAL SIM-Black+Bluetooth.","KSh 11,498","KSh 16,999"
"Oppo A1K, 6.1"", 2GB+32GB-RAM- DUAL SIM-Black","KSh 11,498","KSh 16,999"
"Oppo A93, 6.43"", 128GB + 8GB , 48MP, (Dual SIM), 4000mAh - Blue + Free Gifts","KSh 30,999","KSh 35,000"
"Oppo A1K, 6.1"", 32GB+2GB, Dual SIM","KSh 11,197","KSh 15,999"
Oppo Enco W11 True Wireless Headset Water And Dust Resistant -,"KSh 2,990","KSh 4,999"
"Oppo A53, 6.5"", 64GB + 4GB RAM (Dual SIM), 5000mAh, - Blue","KSh 19,499","KSh 37,000"
"Oppo A93, 6.4"", 128GB + 8GB RAM (Dual SIM), 4000mAh, Matte Black","KSh 29,399","KSh 40,000"
"Oppo A1k, 6.1"", 32 GB + 2 GB, 4000 MAh (Dual SIM)  _Red","KSh 10,895","KSh 15,000"
"Oppo A31-6.5""4GB RAM/64GB ROM DOUBLE SIM-Mysterious Black","KSh 18,499","KSh 19,999"
"Oppo A1K -6.1"",32GB+2GB RAM, 8MP+5MP Camera,(Dual SIM),Black+FREE 5D SCREEN PROTECTOR","KSh 11,999","KSh 20,000"
Oppo A1K-6.1'-32GB+2GB-8MP Rear Camera-4000mAh-Dual SIM-Black+FREE GIFTS,"KSh 11,490","KSh 18,000"
"Oppo A1K, 6.1"", 32GB+2GB, Dual SIM - BLACK +FREE BACK Cover & RING","KSh 10,999","KSh 14,999"
"Oppo A53, 6.5"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Fancy Blue","KSh 18,999",
"Oppo A93, 6.43"", 128GB + 8GB RAM (Dual SIM),4000mAh_Magic Blue","KSh 29,599","KSh 33,000"
"Oppo A53, 6.5"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue","KSh 19,599","KSh 23,000"
"Oppo A1K, 6.1"", 32 GB+2 GB (Dual SIM) - Black + FREE Glass & Back cover","KSh 11,106","KSh 14,000"
"Oppo A1K, 6.1"", 32GB+2GB (Dual SIM), Android 9.0+Free Backcover,Selfiestick,OTG Cable","KSh 11,150","KSh 18,999"
Oppo AIK - 32GB + 2GB - 6.1'' SCREEN - 4000mAh - FREE FANCY COVER + RING,"KSh 12,199","KSh 20,800"
